Sample,Cluster
A25U.01A,Cluster Low
A73B.01A,Cluster Low
A8TC.01A,Cluster Low
X5264.01A,Cluster Low
A1EE.01A,Cluster Low
A39Y.01A,Cluster Low
AACH.01A,Cluster Low
A6GG.01A,Cluster Low
A5SI.01A,Cluster Low
AAV1.01A,Cluster Low
A7SK.01A,Cluster Low
A9QC.01A,Cluster Low
A7SH.01A,Cluster Low
A9FW.01A,Cluster Low
AADG.01A,Cluster Low
A3MB.01A,Cluster Low
A2KB.01A,Cluster Low
AACP.01A,Cluster Low
A9FU.01A,Cluster Low
A7IK.01A,Cluster Low
A1EH.01A,Cluster Low
A6UC.01A,Cluster Low
A73D.01A,Cluster Low
AACA.01A,Cluster Low
A5NP.01A,Cluster Low
A7MC.01A,Cluster Low
A7MB.01A,Cluster Low
AACK.01A,Cluster Low
A3KG.01A,Cluster Low
A7IL.01A,Cluster Low
A496.01A,Cluster Low
