ProbeID	Codeset.Name	Probe.Label	Analyte.Type	Is.Control	Control.Type	Related.Probes	Probe.Annotation	KEGG.Pathways	Cell.Type	Official.Gene.Name	Control.Conc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001130852.1:657	NS_IO_360_V1.0	CBLC	mRNA	False			Cytotoxicity	hsa04012;hsa04120;hsa04144;hsa04660;hsa04910;hsa05100;hsa05200;hsa05205;hsa05220		CBLC	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001792.3:3067	NS_IO_360_V1.0	CDH2	mRNA	False			Immune Cell Adhesion and Migration	hsa04514;hsa05412		CDH2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001098209.1:1938	NS_IO_360_V1.0	CTNNB1	mRNA	False			Immune Cell Adhesion and Migration;Apoptosis;Wnt Signaling	hsa04015;hsa04310;hsa04390;hsa04510;hsa04520;hsa04530;hsa04550;hsa04670;hsa04916;hsa04919;hsa05100;hsa05130;hsa05166;hsa05200;hsa05205;hsa05210;hsa05213;hsa05215;hsa05216;hsa05217;hsa05412		CTNNB1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000615.6:1134	NS_IO_360_V1.0	NCAM1	mRNA	False			Immune Cell Adhesion and Migration;Matrix Remodeling and Metastasis;Interferon Signaling	hsa04514;hsa05020		NCAM1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_030641.3:289	NS_IO_360_V1.0	APOL6	mRNA	False						APOL6	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002124.3:1016	NS_IO_360_V1.0	HLA-DRB1	mRNA	False			Antigen Presentation;Costimulatory Signaling;Immune Cell Adhesion and Migration;Interferon Signaling	hsa04145;hsa04514;hsa04612;hsa04640;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416		HLA-DRB1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_004072.2:762	NS_IO_360_V1.0	CMKLR1	mRNA	False						CMKLR1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000397.3:1034	NS_IO_360_V1.0	CYBB	mRNA	False			Antigen Presentation;Immune Cell Adhesion and Migration;Hypoxia;Myeloid Compartment	hsa04066;hsa04145;hsa04380;hsa04670;hsa04933		CYBB	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_148901.1:282	NS_IO_360_V1.0	TNFRSF18	mRNA	False			NF-kappaB Signaling	hsa04060		TNFRSF18	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_004168.3:342	NS_IO_360_V1.0	SDHA	mRNA	True	Housekeeping					SDHA	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001318067.1:2280	NS_IO_360_V1.0	MAPK10	mRNA	False			Autophagy;Metabolic Stress;Wnt Signaling;MAPK	hsa04010;hsa04012;hsa04014;hsa04024;hsa04068;hsa04071;hsa04141;hsa04310;hsa04380;hsa04510;hsa04620;hsa04621;hsa04622;hsa04664;hsa04668;hsa04722;hsa04723;hsa04728;hsa04750;hsa04910;hsa04912;hsa04914;hsa04917;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05164;hsa05168;hsa05169;hsa05200;hsa05210;hsa05212;hsa05231		MAPK10	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_003474.5:638	NS_IO_360_V1.0	ADAM12	mRNA	False						ADAM12	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000937.2:3775	NS_IO_360_V1.0	POLR2A	mRNA	True	Housekeeping		DNA Damage Repair			POLR2A	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_005161.4:629	NS_IO_360_V1.0	APLNR	mRNA	False				hsa04080		APLNR	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002982.3:303	NS_IO_360_V1.0	CCL2	mRNA	False			Cytokine and Chemokine Signaling;Myeloid Compartment	hsa04060;hsa04062;hsa04621;hsa04668;hsa04933;hsa05142;hsa05144;hsa05164;hsa05168;hsa05323		CCL2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001289023.2:864	NS_IO_360_V1.0	LAIR1	mRNA	False						LAIR1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000632.3:1400	NS_IO_360_V1.0	ITGAM	mRNA	False			Immune Cell Adhesion and Migration;Matrix Remodeling and Metastasis;Myeloid Compartment	hsa04015;hsa04145;hsa04514;hsa04610;hsa04640;hsa04670;hsa04810;hsa05133;hsa05134;hsa05140;hsa05146;hsa05150;hsa05152;hsa05202		ITGAM	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001172085.1:587	NS_IO_360_V1.0	TBP	mRNA	True	Housekeeping					TBP	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_014862.3:1133	NS_IO_360_V1.0	ARNT2	mRNA	False				hsa05200;hsa05202;hsa05211		ARNT2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002123.3:384	NS_IO_360_V1.0	HLA-DQB1	mRNA	False			Antigen Presentation;Costimulatory Signaling;Immune Cell Adhesion and Migration;Interferon Signaling	hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416		HLA-DQB1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001777.3:901	NS_IO_360_V1.0	CD47	mRNA	False			Matrix Remodeling and Metastasis;Cytotoxicity;Myeloid Compartment	hsa04512		CD47	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_003745.1:1022	NS_IO_360_V1.0	SOCS1	mRNA	False			Antigen Presentation;Interferon Signaling;JAK-STAT Signaling	hsa04120;hsa04380;hsa04630;hsa04910;hsa04917;hsa04930;hsa05145;hsa05206		SOCS1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002200.3:1845	NS_IO_360_V1.0	IRF5	mRNA	False			Interferon Signaling				;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_003808.3:810	NS_IO_360_V1.0	TNFSF13	mRNA	False			NF-kappaB Signaling	hsa04060;hsa04672;hsa05323		TNFSF13	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001130725.1:426	NS_IO_360_V1.0	PSMB5	mRNA	False			Antigen Presentation;Costimulatory Signaling;Cell Proliferation;Apoptosis;Hedgehog Signaling;NF-kappaB Signaling	hsa03050		PSMB5	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_006137.6:440	NS_IO_360_V1.0	CD7	mRNA	False			Lymphoid Compartment	hsa04640		CD7	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_016817.2:380	NS_IO_360_V1.0	OAS2	mRNA	False			Interferon Signaling;Cytotoxicity	hsa05160;hsa05162;hsa05164;hsa05168		OAS2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_003840.4:838	NS_IO_360_V1.0	TNFRSF10D	mRNA	False				hsa04060;hsa04210;hsa04650;hsa05162;hsa05164		TNFRSF10D	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002116.7:298	NS_IO_360_V1.0	HLA-A	mRNA	False			Antigen Presentation;Immune Cell Adhesion and Migration;Interferon Signaling	hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416		HLA-A	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_003177.5:808	NS_IO_360_V1.0	SYK	mRNA	False			PI3K-Akt	hsa04064;hsa04072;hsa04151;hsa04380;hsa04611;hsa04650;hsa04662;hsa04664;hsa04666;hsa05152;hsa05169;hsa05203		SYK	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000917.3:805	NS_IO_360_V1.0	P4HA1	mRNA	False				hsa00330;hsa01100		P4HA1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000582.2:760	NS_IO_360_V1.0	SPP1	mRNA	False			Costimulatory Signaling;Matrix Remodeling and Metastasis;PI3K-Akt	hsa04151;hsa04510;hsa04512;hsa04620		SPP1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_005356.4:1723	NS_IO_360_V1.0	LCK	mRNA	False			Costimulatory Signaling;Lymphoid Compartment	hsa04064;hsa04380;hsa04650;hsa04660;hsa05166;hsa05340		LCK	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001033667.2:339	NS_IO_360_V1.0	LY9	mRNA	False			Costimulatory Signaling;Lymphoid Compartment			LY9	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERCC_00154.1:115	NS_IO_360_V1.0	NEG_H(0)	mRNA	True	Negative						0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002262.3:393	NS_IO_360_V1.0	KLRD1	mRNA	False			Antigen Presentation;Cytotoxicity;Lymphoid Compartment	hsa04612;hsa04650;hsa05332	Cytotoxic cells	KLRD1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001252.3:420	NS_IO_360_V1.0	CD70	mRNA	False			Costimulatory Signaling;NF-kappaB Signaling;Lymphoid Compartment	hsa04060		CD70	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002164.5:52	NS_IO_360_V1.0	IDO1	mRNA	False			Lymphoid Compartment	hsa01100;hsa05143		IDO1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_006037.3:3742	NS_IO_360_V1.0	HDAC4	mRNA	False			Epigenetic Regulation;Notch Signaling	hsa05034;hsa05169;hsa05203;hsa05206		HDAC4	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001854.3:5744	NS_IO_360_V1.0	COL11A1	mRNA	False			Matrix Remodeling and Metastasis;Myeloid Compartment	hsa04974		COL11A1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_021798.3:744	NS_IO_360_V1.0	IL21R	mRNA	False			Cytokine and Chemokine Signaling;JAK-STAT Signaling	hsa04060;hsa04630;hsa05321	NK CD56dim cells	IL21R	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000076.2:1605	NS_IO_360_V1.0	CDKN1C	mRNA	False			Cell Proliferation	hsa04110		CDKN1C	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002984.2:35	NS_IO_360_V1.0	CCL4	mRNA	False			Antigen Presentation;Cytokine and Chemokine Signaling;Myeloid Compartment	hsa04060;hsa04062;hsa04064;hsa04620;hsa04623;hsa05132		CCL4	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_014358.3:1392	NS_IO_360_V1.0	CLEC4E	mRNA	False			Immune Cell Adhesion and Migration;Myeloid Compartment	hsa05152		CLEC4E	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001797.2:152	NS_IO_360_V1.0	CDH11	mRNA	False						CDH11	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001329938.1:262	NS_IO_360_V1.0	TGFB3	mRNA	False			Matrix Remodeling and Metastasis;TGF-beta Signaling;MAPK				;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002996.3:1850	NS_IO_360_V1.0	CX3CL1	mRNA	False			Cytokine and Chemokine Signaling;Lymphoid Compartment	hsa04060;hsa04062;hsa04668		CX3CL1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001206796.2:1533	NS_IO_360_V1.0	PKM	mRNA	False			Metabolic Stress	hsa00010;hsa00230;hsa00620;hsa01100;hsa01200;hsa01230;hsa04922;hsa04930;hsa05203;hsa05230		PKM	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002203.3:903	NS_IO_360_V1.0	ITGA2	mRNA	False			Immune Cell Adhesion and Migration;Matrix Remodeling and Metastasis;PI3K-Akt	hsa04145;hsa04151;hsa04510;hsa04512;hsa04611;hsa04640;hsa04810;hsa05200;hsa05205;hsa05222;hsa05410;hsa05412;hsa05414		ITGA2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001031680.2:3786	NS_IO_360_V1.0	RUNX3	mRNA	False						RUNX3	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001318787.1:484	NS_IO_360_V1.0	TLR2	mRNA	False			PI3K-Akt;Myeloid Compartment				;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
